baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene
7369.550955,-0.045650545,0.235652554,-0.193719712,0.846395356,0.935292848,MCFD2
6599.39894,-0.272682641,0.180860771,-1.50769368,0.131632944,0.309483677,CALM2
19352.68887,-0.042210311,0.254343543,-0.165957863,0.86819011,0.948910265,TMSB10
10220.99152,0.051347416,0.182014707,0.282105863,0.777862338,0.904371817,SPTBN1
7230.469799,0.458189977,0.333171588,1.375237248,0.169057904,0.371085606,TGOLN2
4338.817053,-1.663371151,1.841305212,-0.903365254,,,IL1B
8141.245168,0.696162108,0.2587858,2.690109374,0.00714286,0.040629819,CRIM1
4318.035853,-0.29881921,0.156514294,-1.909213538,0.056234551,0.182503541,ACTR3
10957.4052,-0.166108846,0.649589725,-0.255713475,0.798172089,0.9119504,SLC20A1
9626.587777,-0.379048045,0.305681771,-1.240008667,0.214972189,0.435709915,MAP4K4
13425.69769,1.333217119,0.748349082,1.781544403,0.074823558,0.21748166,IGFBP5
8251.310609,0.54111446,0.547659576,0.988048933,0.323128684,0.576649511,ITGAV
5739.805165,-0.213244591,0.104385464,-2.042857143,0.041066582,0.146600395,ARPC2
4193.801343,0.034072705,0.150554554,0.226314674,0.820956686,0.924012951,NCKAP1
6591.727005,-0.223719279,0.109546606,-2.042229208,0.041128801,0.146600395,RPL37A
4200.673581,-0.656679032,0.099784022,-6.581003866,4.67E-11,6.18E-09,XRCC5
4337.650866,0.695504925,0.525492131,1.32353062,0.185658981,0.399242279,GPC1
14188.36971,0.394479981,0.128891131,3.060567305,0.002209181,0.016937054,COL5A2
7437.67224,-0.125060231,0.116622164,-1.072353886,0.283561112,0.535264916,SEPTIN2
79304.26012,0.652589388,0.419198364,1.556755568,0.11952853,0.292560813,COL3A1
4695.768305,0.090894394,0.110346231,0.823719971,0.410098689,0.667617832,PDIA6
6049.33935,-0.18279773,0.132814952,-1.376333967,0.168718261,0.371085606,ACTR2
48188.03553,1.877873757,0.263841083,7.11744257,1.10E-12,1.94E-10,SERPINE2
4231.70849,0.038564387,0.485031156,0.079509092,0.9366277,0.963863423,IL1R1
4298.566784,-0.61563467,0.199566996,-3.08485211,0.002036534,0.015843036,HSPD1
8655.360727,-0.519677072,0.151997167,-3.418991839,0.000628536,0.006785625,NCL
3478.520418,-1.123782259,0.371873763,-3.021945536,0.002511557,0.018980198,ODC1
4732.974456,0.829582083,0.218342257,3.799457307,0.000145013,0.002256236,CHPF
4551.67329,-1.161701109,0.218287572,-5.321883865,1.03E-07,4.94E-06,PTMA
316025.3437,0.423165399,0.616532889,0.686363058,0.492484194,0.725115514,FN1
5375.176266,-0.02578718,0.630996675,-0.040867379,0.967401623,0.976632555,ANTXR1
4075.565204,-0.02780746,0.202542925,-0.137291686,0.890800242,0.962377883,DNAJC10
3804.342035,-0.451180815,0.131155422,-3.440046997,0.000581613,0.006409862,RPS27A
4051.207005,0.494694537,0.340818249,1.451490751,0.146643256,0.334813383,CYBRD1
3823.146179,0.393402175,0.198752036,1.979361734,0.047775294,0.159956521,TNS1
33435.69084,-1.20335162,0.496226609,-2.42500422,0.015308209,0.071510344,COL6A3
15119.96043,0.117032634,0.13936053,0.839783214,0.401029947,0.662952631,HDLBP
3887.896943,-0.476668759,0.087023883,-5.477447629,4.32E-08,2.85E-06,RPL14
6739.447848,0.129694649,0.127822913,1.014643196,0.310275941,0.565986113,GNAI2
16576.36074,0.873586594,0.382618396,2.283179807,0.022419779,0.093386324,FBLN2
4325.600929,0.363611869,0.274610484,1.324100464,0.185469682,0.399242279,CRTAP
26455.54754,0.039879201,0.441079389,0.090412752,0.927959224,0.963863423,DCBLD2
5659.467438,0.482632893,0.301064865,1.603086076,0.108915652,0.279691164,ALCAM
20614.96287,1.436221173,0.313561076,4.580355425,4.64E-06,0.000111616,HEG1
3808.851253,-0.538030472,0.24160091,-2.226938936,0.025951355,0.106420674,RPSA
4249.331931,-0.099524523,0.492999318,-0.201875579,0.840013994,0.933544964,CDCP1
7869.861426,0.2184186,0.435298203,0.501767751,0.6158309,0.810164101,TGFBR2
24801.0475,0.235041873,0.220193575,1.067432932,0.285776384,0.536084068,FSTL1
8898.421614,0.122320995,0.144069168,0.849043529,0.395857072,0.660594293,SEC61A1
3658.328149,-0.367879546,0.470256828,-0.78229496,0.434041248,0.683356608,TM4SF1
4174.610162,0.238778191,0.339276046,0.703787357,0.481565209,0.715584257,FNDC3B
13388.1284,1.219844524,0.609111569,2.002661885,0.045213593,0.153760468,PLOD2
6509.055462,0.268266609,0.332475643,0.806875977,0.419737941,0.668799309,ARF4
7875.504482,0.009913064,0.184583799,0.053704954,0.957170235,0.971867667,AP2M1
4894.853478,0.16241308,0.1253135,1.296054141,0.194956833,0.410175133,RPN1
3534.898833,-0.444905393,0.140012412,-3.177613949,0.001484923,0.012669748,RPL24
8275.894178,0.488077178,0.525575391,0.928653027,0.353068931,0.60444487,PTX3
4760.629385,-0.150422895,0.099355345,-1.51398896,0.13002864,0.308453589,RPL15
9675.386127,1.125965916,0.884748936,1.272638903,0.203146207,0.423087967,ABI3BP
4774.209431,0.083752481,0.193006194,0.433936753,0.66433437,0.850927074,RAB7A
6632.659545,-0.216491567,0.290272139,-0.745822758,0.45577449,0.702078829,PSMD2
10952.04591,-0.102143158,0.101178545,-1.009533773,0.312718713,0.566611046,EIF4G1
10619.5654,-0.232444109,0.693858167,-0.33500234,0.737623321,0.876701457,ATP13A3
6207.574867,-0.2713313,0.28288512,-0.959157201,0.337479558,0.589196984,SSR3
43094.95779,1.11872975,0.556205671,2.011359843,0.044287462,0.152130307,CCDC80
4076.453436,0.959726505,0.325995229,2.943989423,0.003240111,0.021796842,DAG1
4177.960774,-0.097117958,0.167616681,-0.579405091,0.56231587,0.762731013,COPB2
4925.446639,0.183097737,0.232375297,0.787939763,0.430731941,0.680170737,LAMB2
5542.11263,0.402452076,0.252636439,1.593008821,0.111158212,0.282705261,TFRC
4617.197355,-0.301359299,0.132437189,-2.275488482,0.022876643,0.094544876,RPL32
9699.866218,0.095652489,0.117973242,0.810798168,0.417481587,0.668799309,RHOA
8976.629018,0.678654074,0.39625806,1.712656831,0.086775691,0.241375325,ITGB5
5967.990426,0.280828067,0.431278431,0.651152589,0.514947992,0.738262327,FLNB
9416.554513,0.135545176,0.190934175,0.709905263,0.477762887,0.715584257,MAP4
9359.25584,-0.012362434,0.170216711,-0.072627619,0.942102448,0.965837587,WDR1
4335.299966,-0.188030732,0.475807438,-0.395182414,0.69270827,0.870141044,SEL1L3
4567.746,0.433435821,0.269034018,1.611081843,0.107161885,0.277885477,UCHL1
3112.661817,-0.965431498,1.771378532,-0.545017048,,,CXCL1
22045.40538,-2.128228557,2.384797077,-0.892414947,,,CXCL8
3742.988217,-0.655776922,1.967394897,-0.333322468,,,CXCL6
5323.571656,0.130897469,0.119608383,1.094383743,0.273786711,0.524757863,SEC31A
